['52765', '52858']
['52858', '52877']
['52877', '52889']
['52889', '53750']
['53750', '26']
['26', '53000']
['53000', '53012']
['53012', '25']
['25', '53076']
['53076', '53068']
['53068', '53114']
['53114', '53145']
['53145', '53179']
['53179', '53212']
['53212', '53227']
['53227', '53194']
['53194', '53163']
['53163', '53122']
['53122', '53084']
['53084', '25']
['60614', '52997']
['52997', '52904']
['52904', '99']
['99', '99']
['99', '52680']
['52680', '52585']
['52585', '10']
['10', '52422']
['51685', '51607']
['51607', '51550']
['51550', '51474']
['51474', '51401']
['51401', '51335']
['51335', '51288']
['51288', '51239']
['51239', '51172']
['51172', '51097']
['51097', '51044']
['51044', '50995']
['50995', '50948']
['50948', '50908']
['50908', '50860']
['50860', '50861']
['50861', '50707']
['50707', '50644']
['50644', '50585']
['50585', '50537']
['50537', '50466']
['50466', '50420']
['50420', '50383']
['50383', '50344']
['50344', '54126']
['54126', '1']
['6', '51438']
['51196', '51130']
['51130', '51052']
['51052', '4']
['4', '50914']
['50914', '50840']
['50840', '3']
['3', '3']
['3', '50678']
['50357', '50334']
['50334', '1']
['1', '50314']
['54196', '53358']
['53358', '53341']
['53341', '53282']
['53282', '53254']
['53254', '53219']
['53219', '53174']
['53174', '53142']
['53142', '21']
['21', '53055']
['52928', '52866']
['52866', '52775']
['52775', '52603']
['52603', '52461']
['52461', '52339']
['52339', '54987']
['54987', '54968']
['54968', '54939']
['54939', '55021']
['55021', '54905']
['54905', '54878']
['54878', '54870']
['54870', '54856']
['54856', '54850']
['54850', '54832']
['54832', '54814']
['54814', '54794']
['54794', '54771']
['54771', '61547']
['61547', '55283']
['55283', '55280']
['55280', '55270']
['55270', '55255']
['55255', '55221']
['55221', '55209']
['55209', '55197']
['55197', '55186']
['55186', '55171']
['53499', '53478']
['53478', '61550']
['61550', '53440']
['53440', '53433']
['53433', '53391']
['53391', '53370']
['53370', '53353']
['53353', '61839']
['61839', '53281']
['53281', '53267']
['53267', '53214']
['53214', '20']
['20', '53096']
['53096', '53057']
['53057', '53005']
['53005', '52938']
['52938', '52837']
['52837', '52751']
['52751', '52657']
['52657', '52489']
['52489', '54999']
['54999', '54996']
['54996', '54991']
['54991', '54979']
['54979', '55024']
['55024', '54958']
['54958', '54937']
['54937', '54923']
['54923', '54910']
['54910', '54896']
['54896', '54886']
['54886', '54881']
['54881', '54861']
['54861', '54836']
['54836', '54816']
['54816', '55018']
['55018', '55019']
['55019', '54792']
['54792', '54771']
['55255', '55278']
['55278', '59461']
['59461', '55294']
['55294', '55301']
['55301', '55306']
['55306', '55302']
['55302', '55296']
['55296', '55285']
['55285', '55272']
['55272', '55234']
['55234', '55329']
['55329', '55218']
['55218', '55317']
['55317', '55311']
['55311', '53697']
['53697', '54186']
['54186', '51220']
['51220', '54281']
['54281', '54138']
['28', '53065']
['53065', '53079']
['53079', '53094']
['53094', '53110']
['53110', '53119']
['53119', '53137']
['53137', '53172']
['53172', '53181']
['53181', '53193']
['53193', '53212']
['53227', '53236']
['53236', '53244']
['53244', '53259']
['53259', '53271']
['53271', '53286']
['53286', '53299']
['53299', '53310']
['53310', '53325']
['53325', '53331']
['53331', '53343']
['53343', '53354']
['53354', '53348']
['53348', '53333']
['53333', '53317']
['53317', '53295']
['53295', '53274']
