station_id,lat,lon,name,short_name,capacity,X,Y
151,45.53640396516409,-73.57141345739365,Parthenais / du Mont-Royal,6151,23,611538.7497837866,5043533.408422949
152,45.53413436610844,-73.57352435588837,Chabot / Mont-Royal,6152,0,611378.4203735582,5043278.331109937
153,45.53176697148175,-73.5724139213562,Marie-Anne / Papineau,6153,23,611469.7998562522,5043016.861761488
154,45.53221791147474,-73.57543140649796,Marquette / du Mont-Royal,6154,19,611233.2981463405,5043062.774011975
155,45.53022106537559,-73.57699647545813,de Lanaudière / du Mont-Royal,6155,27,611115.0274537657,5042838.762577033
156,45.527550507601894,-73.5762870311737,Marie-Anne / de la Roche,6156,19,611175.6861211014,5042543.053696366
157,45.52927839879717,-73.57792854309082,de Brébeuf / du Mont-Royal,6157,27,611044.1026347426,5042732.745297818
158,45.530845821364125,-73.58157970011233,Gilford / de Brébeuf,6158,0,610755.9217981388,5042901.837185699
159,45.49449368327543,-73.55676054954529,Ann / Wellington,6159,19,612766.4830858607,5038897.776610276
160,45.5330129192707,-73.58128666877745,Garnier / St-Joseph,6160,23,610774.5475517707,5043142.999905788
161,45.53582823686429,-73.57869029045105,Cartier / St-Joseph,6161,19,610971.7362396395,5043459.360138342
162,45.52952466565309,-73.60488876700401,St-Dominique / de Bellechasse,6162,31,608938.4138795754,5042723.164019586
163,45.53543,-73.5822,Marquette / Laurier,6163,27,610698.4907811326,5043410.270718391
164,45.5333136054992,-73.58373686671257,de Lanaudière / Laurier,6164,19,610582.644922849,5043173.0268320395
165,45.532513956311426,-73.58481109142303,Laurier / de Brébeuf,6165,23,610500.3354114033,5043082.708728762
166,45.53383521794791,-73.58928233385086,Gerry-Boulet / St-Grégoire,6166,23,610148.6346752128,5043223.351698625
167,45.5358215436799,-73.58710169792175,Garnier / St-Grégoire,6167,27,610315.0133566592,5043447.021626757
168,45.530846300478125,-73.59832721208477,Marmier / St-Denis,6168,0,609448.2127344876,5042878.91933183
169,45.527432126380575,-73.57991673052311,Boyer / du Mont-Royal,6169,18,610892.4817916871,5042524.881482298
170,45.53085004901257,-73.5884964466095,de Mentana / Boucher,6170,23,610215.8282213596,5042892.786690564
171,45.51958082831579,-73.5601159930229,Wolfe / Robin,6171,23,612454.334856281,5041680.169264496
173,45.519266156911335,-73.5692971944809,Berri / Cherrier,6173,39,611737.9123491463,5041632.391550803
174,45.51908,-73.5727,Roy / St-Denis,6174,23,611472.5217635789,5041606.979969549
175,45.52051578783967,-73.567695915699,St-André / Cherrier,6175,31,611860.4950906488,5041773.451458395
176,45.52551168509886,-73.57424452900887,du Parc-Lafontaine / Rachel,6176,0,611339.204452804,5042319.377293226
177,45.522425652788634,-73.57418417930603,St-Hubert / Duluth,6177,2,611350.0063420878,5041976.612119337
178,45.52435318759273,-73.57596650719643,St-André / Rachel,6178,15,611207.0163127375,5042188.28492117
179,45.52080238036152,-73.575798869133,Duluth  / St-Denis,6179,23,611227.1056885341,5041794.033271955
180,45.498846367453694,-73.55462982326571,des Soeurs-Grises / Marguerite d'Youville,6180,39,612924.2632099894,5039384.3380663255
181,45.5173538,-73.58212888,Clark / Rachel,6181,31,610739.51284177,5041402.156626299
182,45.52141314643908,-73.58498811721802,de Bullion / du Mont-Royal,6182,15,610508.2513167434,5041849.19786956
183,45.5223645775784,-73.58414590358734,Laval / du Mont-Royal,6183,0,610572.1613907488,5041956.058579913
184,45.524673,-73.58255,Métro Mont-Royal (Rivard / du Mont-Royal),6184,39,610692.2661964882,5042214.716569432
185,45.54912085535069,-73.60087350010872,des Érables / Bélanger,6185,15,609213.996579069,5044905.7043771455
186,45.52895039362793,-73.587866127491,St-Hubert / Laurier,6186,15,610268.7585307194,5042682.606123268
187,45.52562819123256,-73.58177483081818,Resther / du Mont-Royal,6187,23,610750.9262073726,5042321.904570946
188,45.526026565221414,-73.57785880565643,de Mentana / Marie-Anne,6188,19,611055.9482698931,5042371.572644596
189,45.552289376429215,-73.61300647258759,Chabot / Villeray,6189,15,608260.8314120736,5045241.278177189
190,45.527009334270645,-73.58576595783234,Pontiac / Gilford,6190,0,610436.552195794,5042469.847158727
191,45.53140956373919,-73.61271411180496,St-Zotique / Clark,6191,11,608323.7484056195,5042921.980976651
