fid,id,StopCode,location,stop_id,stop_name,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,CenDeg,CatCenDeg,Clossnes,CatClossnes
"7673","1000000000007672","58028","(593417.7187465454, 5039907.549507804)","58028",11e Avenue / 9e Rue,"58028",,"45.506441","-73.804143",,http://m.stm.info/fr/horaires/arrets/58028/bus,"0",,,"1",,,0.000231481481,"1",1.807739405726,"4"
"7674","1000000000007673","58029","(593510.0845661603, 5039775.802011538)","58029",11e Avenue / 11e Rue,"58029",,"45.505243","-73.802986",,http://m.stm.info/fr/horaires/arrets/58029/bus,"0",,,"1",,,0.000231481481,"1",1.77534222013,"3"
"7675","1000000000007674","58010","(593620.0075217059, 5039546.4196966365)","58010",14e Rue / 11e Avenue,"58010",,"45.503164","-73.801623",,http://m.stm.info/fr/horaires/arrets/58010/bus,"0",,,"1",,,0.000231481481,"1",1.744085795105,"3"
"7676","1000000000007675","58026","(593509.038037291, 5039468.535590808)","58026",14e Rue / 13e Avenue,"58026",,"45.502478","-73.803058",,http://m.stm.info/fr/horaires/arrets/58026/bus,"0",,,"1",,,0.000231481481,"1",1.713910920881,"3"
"7677","1000000000007676","58008","(593244.1689651369, 5039282.688308964)","58008",14e Rue / 15e Avenue,"58008",,"45.500841","-73.806483",,http://m.stm.info/fr/horaires/arrets/58008/bus,"0",,,"1",,,0.000231481481,"1",1.684762415611,"3"
"7678","1000000000007677","58007","(593089.5735998438, 5039174.049978163)","58007",14e Rue / 17e Avenue,"58007",,"45.499884","-73.808482",,http://m.stm.info/fr/horaires/arrets/58007/bus,"0",,,"1",,,0.000231481481,"1",1.656588788589,"3"
"7679","1000000000007678","58006","(592866.5966140989, 5039017.843585634)","58006",14e Rue / des Sources,"58006",,"45.498508","-73.811365",,http://m.stm.info/fr/horaires/arrets/58006/bus,"0",,,"1",,,0.000231481481,"1",1.629341936695,"3"
"7680","1000000000007679","57999","(592714.3606056158, 5039192.941596786)","57999",des Sources / 9e Rue,"57999",,"45.500104","-73.813280",,http://m.stm.info/fr/horaires/arrets/57999/bus,"0",,,"1",,,0.000462962963,"3",2.066049147243,"4"
"7681","1000000000007680","57896","(592478.438314233, 5039432.037109008)","57896",Anselme-Lavigne / des Sources,"57896",,"45.502287","-73.816254",,http://m.stm.info/fr/horaires/arrets/57896/bus,"0",,,"1",,,0.000231481481,"1",2.023927299847,"4"
"7682","1000000000007681","57886","(592239.252184342, 5039299.060713242)","57886",Anselme-Lavigne / Greenview,"57886",,"45.501122","-73.819340",,http://m.stm.info/fr/horaires/arrets/57886/bus,"0",,,"1",,,0.000231481481,"1",1.983488665086,"4"
"7683","1000000000007682","57882","(592017.2075730094, 5039206.126267377)","57882",Anselme-Lavigne / Oslo,"57882",,"45.500315","-73.822199",,http://m.stm.info/fr/horaires/arrets/57882/bus,"0",,,"1",,,0.000231481481,"1",1.944634326165,"4"
"7684","1000000000007683","57878","(591842.7219754863, 5039045.445535277)","57878",Anselme-Lavigne / Drouin,"57878",,"45.498892","-73.824462",,http://m.stm.info/fr/horaires/arrets/57878/bus,"0",,,"1",,,0.000347222222,"2",1.90727296806,"4"
"7685","1000000000007684","57885","(592072.3697341931, 5038721.894004862)","57885",Westpark / Wilson,"57885",,"45.495950","-73.821584",,http://m.stm.info/fr/horaires/arrets/57885/bus,"0",,,"1",,,0.000231481481,"1",1.871369898108,"4"
"7686","1000000000007685","57888","(592255.1537570705, 5038296.986130917)","57888",Westpark / Roger-Pilon,"57888",,"45.492102","-73.819325",,http://m.stm.info/fr/horaires/arrets/57888/bus,"0",,,"1",,,0.000231481481,"1",1.836793553483,"4"
"7687","1000000000007686","57880","(591960.0201021171, 5038159.866368018)","57880",Roger-Pilon / Manuel,"57880",,"45.490907","-73.823127",,http://m.stm.info/fr/horaires/arrets/57880/bus,"0",,,"1",,,0.000231481481,"1",1.803471728614,"4"
"7688","1000000000007687","57874","(591606.50076388, 5037909.566067788)","57874",Roger-Pilon / Fredmir,"57874",,"45.488701","-73.827697",,http://m.stm.info/fr/horaires/arrets/57874/bus,"0",,,"1",,,0.000231481481,"1",1.771337364182,"3"
"7689","1000000000007688","57986","(591410.9401396109, 5037765.148404159)","57986",Roger-Pilon / Tecumseh,"57986",,"45.487427","-73.830226",,http://m.stm.info/fr/horaires/arrets/57986/bus,"0",,,"1",,,0.000231481481,"1",1.740328096667,"3"
"7690","1000000000007689","57987","(591163.8548663002, 5037524.314505996)","57987",Baffin / Roger-Pilon,"57987",,"45.485292","-73.833432",,http://m.stm.info/fr/horaires/arrets/57987/bus,"0",,,"1",,,0.000231481481,"1",1.71038585439,"3"
"7691","1000000000007690","57860","(591235.1271039292, 5037266.996080529)","57860",Hemingway / Greenfield,"57860",,"45.482967","-73.832568",,http://m.stm.info/fr/horaires/arrets/57860/bus,"0",,,"1",,,0.000231481481,"1",1.681456494555,"3"
"7692","1000000000007691","57867","(591391.9087898001, 5037005.255250697)","57867",Lake / Autumn,"57867",,"45.480591","-73.830611",,http://m.stm.info/fr/horaires/arrets/57867/bus,"0",,,"1",,,0.000231481481,"1",1.653489476513,"3"
"7693","1000000000007692","57862","(591288.074630335, 5036872.51234716)","57862",Blue Haven / Lake,"57862",,"45.479410","-73.831964",,http://m.stm.info/fr/horaires/arrets/57862/bus,"0",,,"1",,,0.000231481481,"1",1.626437567094,"3"
"7694","1000000000007693","57864","(591348.2408538149, 5036723.819991525)","57864",Blue Haven / Viking,"57864",,"45.478064","-73.831222",,http://m.stm.info/fr/horaires/arrets/57864/bus,"0",,,"1",,,0.000231481481,"1",1.600256574403,"3"
"7695","1000000000007694","57871","(591492.0862624242, 5036422.890165902)","57871",Blue Haven / Jourdain,"57871",,"45.475337","-73.829438",,http://m.stm.info/fr/horaires/arrets/57871/bus,"0",,,"1",,,0.000231481481,"1",1.574905106922,"3"
"7696","1000000000007695","57869","(591489.8579107143, 5036269.956828716)","57869",Blue Haven / des Pins,"57869",,"45.473961","-73.829495",,http://m.stm.info/fr/horaires/arrets/57869/bus,"0",,,"1",,,0.000231481481,"1",1.550344355145,"3"
"7697","1000000000007696","57988","(591283.919197038, 5036045.054362722)","57988",Blue Haven / des Cèdres,"57988",,"45.471964","-73.832171",,http://m.stm.info/fr/horaires/arrets/57988/bus,"0",,,"1",,,0.000231481481,"1",1.526537893338,"3"
"7698","1000000000007697","57821","(591379.4679462825, 5035291.830190357)","57821",Terminus Fairview,"57821",,"45.465173","-73.831089",,http://m.stm.info/fr/horaires/arrets/57821/bus,"0",,,"1",,,0.000231481481,"1",1.626785168755,"3"
"7699","1000000000007698","57980","(590992.8879239159, 5036161.0629272545)","57980",de Salaberry / Hasting,"57980",,"45.473046","-73.835872",,http://m.stm.info/fr/horaires/arrets/57980/bus,"0",,,"1",,,0.000231481481,"1",1.844126118693,"4"
"7700","1000000000007699","57835","(590784.3135479297, 5035987.254223801)","57835",De Salaberry / Boyer,"57835",,"45.471509","-73.838572",,http://m.stm.info/fr/horaires/arrets/57835/bus,"0",,,"2",,,0.000231481481,"1",1.810481955679,"4"
"7701","1000000000007700","57836","(590556.1042342255, 5035813.3919712)","57836",de Salaberry / Devon,"57836",,"45.469974","-73.841523",,http://m.stm.info/fr/horaires/arrets/57836/bus,"0",,,"1",,,0.000347222222,"2",1.859516530984,"4"
"7702","1000000000007701","57979","(590168.1032152278, 5035517.345407397)","57979",de Salaberry / Walworth,"57979",,"45.467360","-73.846540",,http://m.stm.info/fr/horaires/arrets/57979/bus,"0",,,"1",,,0.000231481481,"1",1.825301838178,"4"
