Id,Lat,Lon,Magnitud,Number of Stops,Number of Stations,List of Stations,List of Stops,Type,Category,Name,URL
56182,45.517057000115,-73.61383300000023,1,1,0,[],['56182'],Cluster,Small,McEachran - Lajoie,"http://maps.google.com/maps?q=&layer=c&cbll=45.517057000115,-73.61383300000023"
56165,45.519156000099464,-73.61850600000061,1,1,0,[],['56165'],Cluster,Small,McEachran - Ducharme,"http://maps.google.com/maps?q=&layer=c&cbll=45.519156000099464,-73.61850600000061"
56159,45.51990700009398,-73.62018000000074,1,1,0,[],['56159'],Cluster,Small,McEachran - Rockland,"http://maps.google.com/maps?q=&layer=c&cbll=45.51990700009398,-73.62018000000074"
56060,45.51967600001541,-73.64538900000267,1,1,0,[],['56060'],Cluster,Small,Laird - Jasper,"http://maps.google.com/maps?q=&layer=c&cbll=45.51967600001541,-73.64538900000267"
59676,45.516997000020375,-73.64376100000254,1,1,0,[],['59676'],Cluster,Small,Laird - Canora,"http://maps.google.com/maps?q=&layer=c&cbll=45.516997000020375,-73.64376100000254"
56075,45.51749700002497,-73.64222700000245,1,1,0,[],['56075'],Cluster,Small,Regent - Cornwall,"http://maps.google.com/maps?q=&layer=c&cbll=45.51749700002497,-73.64222700000245"
60679,45.51853800001832,-73.6444350000026,1,1,0,[],['60679'],Cluster,Small,Laird - Beverley,"http://maps.google.com/maps?q=&layer=c&cbll=45.51853800001832,-73.6444350000026"
56219,45.51835900009097,-73.62112400000082,1,1,0,[],['56219'],Cluster,Small,Rockland - No 1000,"http://maps.google.com/maps?q=&layer=c&cbll=45.51835900009097,-73.62112400000082"
56162,45.51785100009466,-73.61999100000074,1,1,0,[],['56162'],Cluster,Small,Rockland - Ducharme,"http://maps.google.com/maps?q=&layer=c&cbll=45.51785100009466,-73.61999100000074"
56179,45.5157730001101,-73.61532600000034,1,1,0,[],['56179'],Cluster,Small,Rockland - Lajoie,"http://maps.google.com/maps?q=&layer=c&cbll=45.5157730001101,-73.61532600000034"
56183,45.51502000011569,-73.61365400000021,1,1,0,[],['56183'],Cluster,Small,Rockland - Bernard,"http://maps.google.com/maps?q=&layer=c&cbll=45.51502000011569,-73.61365400000021"
54327,45.49419700008415,-73.62349700000101,1,1,0,[],['54327'],Cluster,Small,Jean-Brillant - Légaré,"http://maps.google.com/maps?q=&layer=c&cbll=45.49419700008415,-73.62349700000101"
54328,45.49238800007379,-73.62675300000126,1,1,0,[],['54328'],Cluster,Small,Lavoie - Isabella,"http://maps.google.com/maps?q=&layer=c&cbll=45.49238800007379,-73.62675300000126"
54329,45.49499300007951,-73.62493400000112,1,1,0,[],['54329'],Cluster,Small,Lacombe - Légaré,"http://maps.google.com/maps?q=&layer=c&cbll=45.49499300007951,-73.62493400000112"
55349,45.5006039998495,-73.70823600000644,1,1,0,[],['55349'],Cluster,Small,Thimens - Place Vertu,"http://maps.google.com/maps?q=&layer=c&cbll=45.5006039998495,-73.70823600000644"
55454,45.50174699985318,-73.70665400000635,1,1,0,[],['55454'],Cluster,Small,Thimens - Cavendish,"http://maps.google.com/maps?q=&layer=c&cbll=45.50174699985318,-73.70665400000635"
55624,45.51266299990729,-73.68455100000519,1,1,0,[],['55624'],Cluster,Small,Côte-Vertu - Cardinal,"http://maps.google.com/maps?q=&layer=c&cbll=45.51266299990729,-73.68455100000519"
50346,45.541677999962694,-73.66346600000391,1,1,0,[],['50346'],Cluster,Small,Sauvé - Verville,"http://maps.google.com/maps?q=&layer=c&cbll=45.541677999962694,-73.66346600000391"
55696,45.519755999930176,-73.67569800000466,1,1,0,[],['55696'],Cluster,Small,Côte-Vertu - Barré,"http://maps.google.com/maps?q=&layer=c&cbll=45.519755999930176,-73.67569800000466"
55803,45.51195799990394,-73.68586100000526,1,1,0,[],['55803'],Cluster,Small,Côte-Vertu - Crevier,"http://maps.google.com/maps?q=&layer=c&cbll=45.51195799990394,-73.68586100000526"
55802,45.50449499988064,-73.69523700000576,1,1,0,[],['55802'],Cluster,Small,Côte-Vertu - Bourgoin,"http://maps.google.com/maps?q=&layer=c&cbll=45.50449499988064,-73.69523700000576"
55518,45.50337999987719,-73.69665700000584,1,1,0,[],['55518'],Cluster,Small,Côte-Vertu - Bertrand,"http://maps.google.com/maps?q=&layer=c&cbll=45.50337999987719,-73.69665700000584"
55486,45.49962899986592,-73.70133800000609,1,1,0,[],['55486'],Cluster,Small,Côte-Vertu - Cavendish,"http://maps.google.com/maps?q=&layer=c&cbll=45.49962899986592,-73.70133800000609"
55801,45.49761799985994,-73.70386000000622,1,1,0,[],['55801'],Cluster,Small,Place Vertu; entrée sud-est,"http://maps.google.com/maps?q=&layer=c&cbll=45.49761799985994,-73.70386000000622"
56935,45.42192700010888,-73.61674200000043,1,1,0,[],['56935'],Cluster,Small,35e Avenue - George,"http://maps.google.com/maps?q=&layer=c&cbll=45.42192700010888,-73.61674200000043"
56235,45.48177900012942,-73.60994099999989,1,1,0,[],['56235'],Cluster,Small,Westmount - Victoria,"http://maps.google.com/maps?q=&layer=c&cbll=45.48177900012942,-73.60994099999989"
56223,45.485160000108955,-73.6160170000004,1,1,0,[],['56223'],Cluster,Small,Sunnyside - Victoria,"http://maps.google.com/maps?q=&layer=c&cbll=45.485160000108955,-73.6160170000004"
55895,45.51698999996544,-73.66277400000384,1,1,0,[],['55895'],Cluster,Small,Hodge - Harris,"http://maps.google.com/maps?q=&layer=c&cbll=45.51698999996544,-73.66277400000384"
61371,45.520102999956734,-73.66588300000403,1,1,0,[],['61371'],Cluster,Small,Stinson - Montpellier,"http://maps.google.com/maps?q=&layer=c&cbll=45.520102999956734,-73.66588300000403"
55762,45.52059699996922,-73.66137800000375,1,1,0,[],['55762'],Cluster,Small,Stinson - Hodge,"http://maps.google.com/maps?q=&layer=c&cbll=45.52059699996922,-73.66137800000375"
61726,45.51207100028768,-73.56640899999574,1,1,0,[],['61726'],Cluster,Small,Ontario - Saint-Dominique,"http://maps.google.com/maps?q=&layer=c&cbll=45.51207100028768,-73.56640899999574"
53262,45.55830000041256,-73.5359379999923,1,1,0,[],['53262'],Cluster,Small,Ontario - Saint-Clément,"http://maps.google.com/maps?q=&layer=c&cbll=45.55830000041256,-73.5359379999923"
53027,45.534796000347285,-73.55146199999412,1,1,0,[],['53027'],Cluster,Small,Ontario - Bercy,"http://maps.google.com/maps?q=&layer=c&cbll=45.534796000347285,-73.55146199999412"
52611,45.51144800028615,-73.5667989999958,1,1,0,[],['52611'],Cluster,Small,Ontario - Saint-Laurent,"http://maps.google.com/maps?q=&layer=c&cbll=45.51144800028615,-73.5667989999958"
59532,45.50709999986334,-73.70231400000613,1,1,0,[],['59532'],Cluster,Small,École secondaire Saint-Laurent,"http://maps.google.com/maps?q=&layer=c&cbll=45.50709999986334,-73.70231400000613"
