fid, reach
1008,728
1009,502
1010,426
1011,448
1012,318
1013,732
1014,814
1015,904
1016,702
1017,562
1018,337
1019,540
1020,670
1021,616
1022,349
1023,88
1024,561
1025,557
1026,641
1027,535
1028,394
1029,315
1030,686
1031,409
1032,410
1033,219
1034,222
1035,327
1036,375
1037,256
1038,194
1039,113
1040,192
1041,32
1042,9
1043,669
1044,407
1045,482
1046,382
1047,129
1048,402
1049,284
1050,154
1051,759
1052,729
1053,643
1054,504
1055,534
1056,629
1057,561
1058,302
1059,486
1060,578
1061,198
1062,63
1063,153
1064,137
1065,143
1066,85
1067,100
1068,39
1069,112
1070,134
1071,291
1072,358
1073,772
1074,818
1075,625
1076,345
1077,234
1078,311
1079,201
1080,318
1081,599
1082,674
1083,546
1084,486
1085,661
1086,1008
1087,1093
1088,1188
1089,665
1090,392
1091,313
1092,261
1093,244
1094,225
1095,447
1096,882
1097,747
1098,501
1099,209
1100,150
1101,257
1102,341
1103,360
1104,321
1105,273
1106,889
1107,1759
1108,1740
1109,669
1110,279
1111,369
1112,162
1113,92
1114,48
1115,29
1116,290
1117,1410
1118,569
1119,915
1120,2077
1121,102
1122,72
1123,74
1124,78
1125,64
1126,77
1127,72
1128,41
1129,53
1130,71
1131,793
1132,247
1133,601
1134,349
1135,189
1136,423
1137,530
1138,129
1139,117
1140,488
1141,137
1142,396
1143,1055
1144,818
1145,736
1146,1573
1147,1775
1148,1834
1149,1781
1150,1665
1151,1271
1152,925
1153,793
1154,1726
1155,1580
1156,1086
1157,981
1158,988
1159,1387
1160,204
1161,514
1162,536
1163,897
1164,807
1165,922
1166,843
1167,1164
1168,1196
1169,1931
1170,1827
1171,1861
1172,496
1173,952
1174,1357
1175,1463
1176,0
1177,389
1178,289
1179,195
1180,351
1181,779
1182,1005
1183,1154
1184,1137
1185,815
1186,975
1187,1093
1188,1209
1189,1190
1190,711
1191,279
1192,274
1193,619
1194,842
1195,844
1196,611
1197,308
1198,132
1199,533
1200,790
1201,1047
1202,1036
1203,719
1204,723
1205,894
1206,1344
1207,1048
1208,956
1209,722
1210,476
1211,644
1212,1043
1213,1163
1214,934
1215,932
1216,617
1217,583
1218,428
1219,373
1220,432
1221,287
1222,142
1223,36
1224,662
1225,750
1226,957
1227,691
1228,1001
1229,1922
1230,2921
1231,695
1232,668
1233,570
1234,945
1235,1166
1236,1951
1237,58
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,22
1245,856
1246,610
1247,565
1248,0
1249,20
1250,689
1251,897
1252,793
1253,756
1254,687
1255,452
1256,540
1257,562
1258,458
1259,203
1260,116
1261,386
1262,443
1263,383
1264,294
1265,183
1266,220
1267,305
1268,225
1269,288
1270,329
1271,435
1272,454
1273,662
1274,467
1275,412
1276,348
1277,769
1278,249
1279,151
1280,116
1281,254
1282,211
1283,83
1284,4
1285,0
1286,0
1287,0
1288,0
1289,29
1290,96
1291,94
1292,51
1293,795
1294,469
1295,158
1296,205
1297,180
1298,460
1299,858
1300,936
1301,476
1302,318
1303,206
1304,142
1305,667
1306,333
1307,201
1308,273
1309,426
1310,760
1311,1017
1312,1192
1313,1029
1314,2262
1315,1704
1316,1425
1317,1020
1318,1163
1319,1089
1320,1076
1321,521
1322,503
1323,699
1324,1043
1325,1024
1326,504
1327,912
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,21
1335,90
1336,184
1337,257
1338,374
1339,346
1340,522
1341,254
1342,314
1343,228
1344,197
1345,197
1346,142
1347,370
1348,233
1349,299
1350,178
1351,149
1352,199
1353,158
1354,83
