StopCode,StopCode,location,stop_id,stop_name,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,HarmCen,CatHarmCen,Clossnes,CatClossnes,BetCen
51954,51954,"(610337.048896268, 5044101.470143781)",51954,De Lorimier / Holt,51954,,45.541707,-73.586672,,http://m.stm.info/fr/horaires/arrets/51954/bus,0,,,1,,,175.199767418061,3,1.853231266405,4,589.409550210699
52089,52089,"(610708.4167967183, 5043865.1976053445)",52089,De Lorimier / Masson,52089,,45.539522,-73.581970,,http://m.stm.info/fr/horaires/arrets/52089/bus,0,,,1,,,171.51789216657,3,1.819355051726,4,589.325146151587
52182,52182,"(610972.5946007937, 5043698.838375819)",52182,De Lorimier / Laurier,52182,,45.537983,-73.578625,,http://m.stm.info/fr/horaires/arrets/52182/bus,0,,,1,,,168.010637217693,3,1.786695087773,3,589.240742092475
52222,52222,"(611050.7992592169, 5043648.7696353495)",52222,De Lorimier / Saint-Joseph,52222,,45.537520,-73.577635,,http://m.stm.info/fr/horaires/arrets/52222/bus,0,,,1,,,164.664060781934,3,1.755187029432,3,589.156338033363
52268,52268,"(611175.9297309342, 5043568.63942477)",52268,De Lorimier / Gilford,52268,,45.536779,-73.576051,,http://m.stm.info/fr/horaires/arrets/52268/bus,0,,,1,,,161.465896524619,3,1.724770991795,3,589.071933974251
52382,52382,"(611444.4555748266, 5043396.375281644)",52382,De Lorimier / du Mont-Royal,52382,,45.535186,-73.572652,,http://m.stm.info/fr/horaires/arrets/52382/bus,0,,,1,,,158.405274151051,3,1.695391170284,3,588.987529915138
52457,52457,"(611626.9600997812, 5043279.155848437)",52457,De Lorimier / Marie-Anne,52457,,45.534102,-73.570342,,http://m.stm.info/fr/horaires/arrets/52457/bus,0,,,1,,,155.472500146451,3,1.666995498944,3,588.903125856026
52563,52563,"(611806.9471685324, 5043163.341322931)",52563,De Lorimier / Rachel,52563,,45.533031,-73.568064,,http://m.stm.info/fr/horaires/arrets/52563/bus,0,,,1,,,152.658882932604,3,1.63953534252,3,588.818721796914
52614,52614,"(611955.7892847612, 5043269.796191615)",52614,Rachel / Parthenais,52614,,45.533965,-73.566134,,http://m.stm.info/fr/horaires/arrets/52614/bus,0,,,1,,,171.65019899297,3,1.811297024786,4,887.309957452949
52685,52685,"(612138.3454544644, 5043167.928436296)",52685,Parthenais / Gauthier,52685,,45.533019,-73.563820,,http://m.stm.info/fr/horaires/arrets/52685/bus,0,,,1,,,167.388037344326,3,1.778866971669,3,124.038013537425
52736,52736,"(612225.022479102, 5043112.357649631)",52736,Parthenais / Sherbrooke,52736,,45.532505,-73.562723,,http://m.stm.info/fr/horaires/arrets/52736/bus,0,,,1,,,163.764937273778,3,1.747577768907,3,123.953609478313
52830,52830,"(612465.2226867159, 5042958.743400934)",52830,Parthenais / de Rouen,52830,,45.531084,-73.559683,,http://m.stm.info/fr/horaires/arrets/52830/bus,0,,,1,,,160.438129405517,3,1.717370256469,3,123.869205419202
52879,52879,"(612584.1669581704, 5042881.307593631)",52879,Parthenais / Larivière,52879,,45.530368,-73.558178,,http://m.stm.info/fr/horaires/arrets/52879/bus,0,,,1,,,157.315758038938,3,1.688189295231,3,123.78480136009
52936,52936,"(612735.3426737062, 5042783.893956612)",52936,Parthenais / Ontario,52936,,45.529467,-73.556265,,http://m.stm.info/fr/horaires/arrets/52936/bus,0,,,1,,,154.35676243324,3,1.659983431077,3,123.700397300979
53033,53033,"(613063.9401675848, 5042572.547124159)",53033,Parthenais / Logan,53033,,45.527512,-73.552107,,http://m.stm.info/fr/horaires/arrets/53033/bus,0,,,1,,,151.537444561956,3,1.63270459211,3,123.615993241867
53063,53063,"(613174.6616771948, 5042501.419470033)",53063,Parthenais / De Maisonneuve,53063,,45.526854,-73.550706,,http://m.stm.info/fr/horaires/arrets/53063/bus,0,,,1,,,148.841862110917,3,1.60630781525,3,123.531589182756
53046,53046,"(613099.7686380757, 5042361.818154325)",53046,De Maisonneuve / De Lorimier,53046,,45.525610,-73.551697,,http://m.stm.info/fr/horaires/arrets/53046/bus,0,,,1,,,204.610765323763,4,2.066827464852,4,454.068658704694
53833,53833,"(608345.6279788393, 5038620.45609597)",53833,Ridgewood / No 3635,53833,,45.492699,-73.613385,,http://m.stm.info/fr/horaires/arrets/53833/bus,0,,,1,,,188.826554723311,4,1.969529910246,4,363.480938113121
53741,53741,"(608447.2278543761, 5038580.203806905)",53741,Ridgewood / No 3600,53741,,45.492321,-73.612094,,http://m.stm.info/fr/horaires/arrets/53741/bus,0,,,1,,,184.467393405366,4,1.931228480805,4,363.396534054009
53742,53742,"(608522.4280665042, 5038665.517625391)",53742,Ridgewood / No 3550,53742,,45.493077,-73.611113,,http://m.stm.info/fr/horaires/arrets/53742/bus,0,,,1,,,180.338834136554,4,1.89438832898,4,363.312129994898
53971,53971,"(608419.823647751, 5038745.869108646)",53971,Ridgewood / No 3440,53971,,45.493816,-73.612408,,http://m.stm.info/fr/horaires/arrets/53971/bus,0,,,1,,,176.419339179765,3,1.858927394083,4,363.227725935785
53743,53743,"(608573.42270531, 5038794.5321270395)",53743,Ridgewood / No 3360,53743,,45.494230,-73.610432,,http://m.stm.info/fr/horaires/arrets/53743/bus,0,,,1,,,172.690684988944,3,1.824769646877,4,363.143321876674
54078,54078,"(608640.9289664184, 5038831.928637991)",54078,Ridgewood / No 3280,54078,,45.494556,-73.609560,,http://m.stm.info/fr/horaires/arrets/54078/bus,0,,,1,,,169.137177903218,3,1.79184454544,3,363.058917817561
51428,51428,"(608594.837941064, 5038930.036406037)",51428,Ridgewood / Côte-des-Neiges,51428,,45.495446,-73.610128,,http://m.stm.info/fr/horaires/arrets/51428/bus,0,,,1,,,165.745125714437,3,1.760086548884,3,362.974513758449
51487,51487,"(608792.47055857, 5038940.460531242)",51487,Côte-des-Neiges / Forest Hill,51487,,45.495509,-73.607597,,http://m.stm.info/fr/horaires/arrets/51487/bus,0,,,1,,,186.098479272856,4,1.904530051319,4,1453.509717912064
51544,51544,"(609122.9323994407, 5039056.327874493)",51544,Remembrance / Royal Canadian Hussars,51544,,45.496500,-73.603343,,http://m.stm.info/fr/horaires/arrets/51544/bus,0,,,1,,,180.886491080608,4,1.868708539209,4,298.034806192451
53992,53992,"(609339.0461132996, 5039387.368153972)",53992,Lac aux Castors (Remembrance / No 2000),53992,,45.499445,-73.600504,,http://m.stm.info/fr/horaires/arrets/53992/bus,0,,,1,,,176.453776591826,3,1.834209654146,4,297.950402133339
54351,54351,"(609662.8566583719, 5039703.073048697)",54351,Remembrance / Cavalerie du SPVM,54351,,45.502235,-73.596290,,http://m.stm.info/fr/horaires/arrets/54351/bus,0,,,2,,,172.416373774659,3,1.800961471509,4,297.865998074227
61755,61755,"(609842.2647288025, 5039838.012338781)",61755,Camillien-Houde / Remembrance,61755,,45.503421,-73.593964,,http://m.stm.info/fr/horaires/arrets/61755/bus,0,,,1,,,168.659467116893,3,1.768897188853,3,297.781594015116
53747,53747,"(609884.8907879185, 5040643.345576382)",53747,Belvédère Camillien-Houde,53747,,45.510661,-73.593238,,http://m.stm.info/fr/horaires/arrets/53747/bus,0,,,2,,,165.127324862163,3,1.737954677911,3,297.697189956004
51879,51879,"(610152.5740260477, 5041271.152727993)",51879,du Mont-Royal / du Parc,51879,,45.516268,-73.589671,,http://m.stm.info/fr/horaires/arrets/51879/bus,0,,,1,,,161.788183852563,3,1.708089895212,3,166.990135813088
51884,51884,"(610215.8264826501, 5041375.171549886)",51884,du Mont-Royal / Jeanne-Mance,51884,,45.517194,-73.588838,,http://m.stm.info/fr/horaires/arrets/51884/bus,0,,,1,,,187.22255847344,4,1.86661541192,4,582.130945129701
51939,51939,"(610318.7684911964, 5041554.458306647)",51939,du Mont-Royal / Saint-Urbain,51939,,45.518791,-73.587480,,http://m.stm.info/fr/horaires/arrets/51939/bus,0,,,1,,,181.141356213099,4,1.832117569166,4,582.046541070589
51966,51966,"(610401.2500013106, 5041688.600782895)",51966,du Mont-Royal / Saint-Laurent,51966,,45.519985,-73.586394,,http://m.stm.info/fr/horaires/arrets/51966/bus,0,,,1,,,176.296705703369,3,1.79887173089,4,581.962137011477
52006,52006,"(610498.278074518, 5041848.227673472)",52006,du Mont-Royal / De Bullion,52006,,45.521406,-73.585116,,http://m.stm.info/fr/horaires/arrets/52006/bus,0,,,1,,,171.995574317565,3,1.766810954741,3,581.877732952365
52036,52036,"(610596.4198544725, 5042006.431213043)",52036,du Mont-Royal / Henri-Julien,52036,,45.522814,-73.583824,,http://m.stm.info/fr/horaires/arrets/52036/bus,0,,,1,,,168.049859180981,3,1.735872987175,3,581.793328893253
52057,52057,"(610661.7864665465, 5042118.160542901)",52057,du Mont-Royal / Saint-Denis,52057,,45.523809,-73.582962,,http://m.stm.info/fr/horaires/arrets/52057/bus,0,,,1,,,164.375055599222,3,1.705999860005,3,581.708924834141
